"detil_id","order_id","produk_id","jumlah","subtotal"
1,1,1,2,5000.00
2,1,10,1,45000.00
3,2,5,2,30000.00
4,2,26,3,90000.00
5,3,3,1,65000.00
6,3,22,1,20000.00
7,4,15,1,16000.00
8,4,30,1,51000.00
9,5,2,2,17000.00
10,5,35,1,78000.00
11,6,40,2,11000.00
12,6,45,1,32000.00
13,7,50,2,64000.00
14,7,60,1,46000.00
15,8,28,1,9000.00
16,8,33,3,66000.00
17,9,32,2,16000.00
18,9,65,4,184000.00
19,10,11,1,6000.00
20,10,48,2,56000.00
21,11,12,1,12000.00
22,11,75,2,76000.00
23,12,13,2,18000.00
24,12,55,1,36000.00
25,13,14,1,25000.00
26,13,38,2,44000.00
27,14,42,1,37000.00
28,14,1,1,2500.00
29,15,3,1,68000.00
30,15,46,1,57000.00
31,16,6,2,24000.00
32,16,51,2,66000.00
33,17,8,3,9000.00
34,17,70,1,68000.00
35,18,9,2,9000.00
36,18,56,2,55000.00
37,19,36,1,14000.00
38,19,61,3,124000.00
39,20,41,1,55000.00
40,20,5,1,8500.00
41,21,16,1,25000.00
42,21,66,2,67000.00
43,22,17,2,110000.00
44,22,57,1,17000.00
45,23,18,1,22000.00
46,23,62,2,93000.00
47,24,19,2,36000.00
48,24,58,1,33000.00
49,25,20,1,28000.00
50,25,43,1,18000.00
51,26,21,2,56000.00
52,26,67,2,49000.00
53,27,23,1,38000.00
54,27,59,2,41000.00
55,28,24,1,120000.00
56,28,71,2,12000.00
57,29,25,2,11600.00
58,29,49,3,46400.00
59,30,27,1,100000.00
60,30,2,1,8500.00
61,31,29,1,5000.00
62,31,72,5,113000.00
63,32,31,2,24000.00
64,32,52,2,47000.00
65,33,34,1,12000.00
66,33,68,2,73000.00
67,34,37,2,19000.00
68,34,53,1,43000.00
69,35,39,1,47000.00
70,35,6,1,12000.00
71,36,44,1,22000.00
72,36,69,3,87000.00
73,37,47,2,184000.00
74,37,54,1,17000.00
75,38,73,2,220000.00
76,38,11,1,6000.00
77,39,74,3,63000.00
78,39,13,1,9000.00
79,40,76,2,54000.00
80,40,8,1,3000.00
81,41,77,1,126000.00
82,41,3,1,72000.00
83,42,78,1,89000.00
84,42,9,1,4500.00
85,43,79,2,76000.00
86,43,14,1,25000.00
87,44,80,2,110000.00
88,44,15,1,16000.00
89,45,81,1,38000.00
90,45,16,1,25000.00
91,46,82,1,94000.00
92,46,17,1,55000.00
93,47,83,2,102000.00
94,47,18,1,22000.00
95,48,84,1,67000.00
96,48,19,1,18000.00
97,49,85,2,73000.00
98,49,20,1,28000.00
99,50,86,2,115000.00
100,50,21,1,28000.00
101,51,87,1,88000.00
102,51,22,1,20000.00
103,52,88,1,85000.00
104,52,23,1,38000.00
105,53,89,1,128000.00
106,53,24,1,120000.00
107,54,90,1,55000.00
108,54,25,1,5800.00
109,55,91,2,68000.00
110,55,26,1,30000.00
111,56,92,1,97000.00
112,56,27,1,100000.00
113,57,93,1,84000.00
114,57,28,1,9000.00
115,58,94,1,112000.00
116,58,29,1,5000.00
117,59,95,2,59000.00
118,59,30,1,51000.00
119,60,96,2,74000.00
120,60,31,1,12000.00
121,61,97,1,106000.00
122,61,32,1,8000.00
123,62,98,1,81000.00
124,62,33,1,22000.00
125,63,99,1,94000.00
126,63,34,1,12000.00
127,64,100,1,66000.00
128,64,35,1,78000.00
129,65,101,1,44000.00
130,65,36,1,14000.00
131,66,102,1,119000.00
132,66,37,1,9500.00
133,67,103,1,87000.00
134,67,38,1,22000.00
135,68,104,1,74000.00
136,68,39,1,47000.00
137,69,105,1,105000.00
138,69,40,1,5500.00
139,70,1,3,7500.00
140,70,2,1,8500.00
141,71,5,1,15000.00
142,71,10,2,90000.00
143,72,15,2,32000.00
144,72,20,2,56000.00
145,73,25,1,5800.00
146,73,30,2,102000.00
147,74,35,1,78000.00
148,74,40,1,5500.00
149,75,45,1,32000.00
150,75,50,1,32000.00
151,76,55,1,36000.00
152,76,60,2,92000.00
153,77,65,2,92000.00
154,77,70,1,15000.00
155,78,75,1,38000.00
156,78,80,1,58000.00
157,79,85,1,38000.00
158,79,90,1,16000.00
159,80,95,1,74000.00
160,80,1,1,2500.00
161,81,1,1,2500.00
162,81,100,1,118500.00
163,82,5,3,45000.00
164,82,90,1,38000.00
165,83,10,1,45000.00
166,83,75,1,30000.00
167,84,20,2,56000.00
168,84,85,1,53000.00
169,85,42,1,39000.00
170,85,2,1,8500.00
171,86,30,1,51000.00
172,86,56,1,42000.00
173,87,46,1,57000.00
174,87,41,1,44000.00
175,88,51,1,33000.00
176,88,38,1,33000.00
177,89,61,2,124000.00
178,89,3,1,72000.00
179,90,66,1,93000.00
180,90,23,1,21000.00
181,91,71,1,6000.00
182,91,76,2,81000.00
183,92,77,1,87000.00
184,92,4,1,28000.00
185,93,78,1,78000.00
186,93,83,1,49000.00
187,94,88,1,54000.00
188,94,5,1,15000.00
189,95,93,1,67000.00
190,95,6,1,12000.00
191,96,98,2,80000.00
192,96,103,1,16000.00
193,97,2,2,17000.00
194,97,100,1,66000.00
195,98,5,1,15000.00
196,98,32,3,48000.00
197,99,10,2,90000.00
198,99,15,1,16000.00
199,100,20,1,28000.00
200,100,25,1,18000.00
201,101,30,1,51000.00
202,101,35,1,78000.00
203,102,40,1,5500.00
204,102,45,2,64000.00
205,103,50,1,32000.00
206,103,55,1,36000.00
207,104,60,1,46000.00
208,104,65,1,46000.00
209,105,70,1,15000.00
210,105,75,1,29000.00
211,106,80,1,58000.00
212,106,85,1,40000.00
213,107,90,1,38000.00
214,107,95,1,48000.00
215,108,1,2,5000.00
216,108,100,1,81000.00
217,109,5,2,30000.00
218,109,26,2,60000.00
219,110,3,1,65000.00
220,110,22,2,40000.00
221,111,15,1,16000.00
222,111,30,1,51000.00
223,112,2,1,8500.00
224,112,35,1,78000.00
225,113,40,1,5500.00
226,113,45,1,32000.00
227,114,50,1,32000.00
228,114,60,1,46000.00
229,115,28,1,9000.00
230,115,33,2,44000.00
231,116,32,1,8000.00
232,116,65,3,138000.00
233,117,11,2,12000.00
234,117,48,1,28000.00
235,118,12,2,24000.00
236,118,75,1,38000.00
237,119,13,1,9000.00
238,119,55,2,72000.00
239,120,14,1,25000.00
240,120,38,1,22000.00
241,121,3,1,68000.00
242,121,46,1,57000.00
243,122,6,1,12000.00
244,122,51,2,66000.00
245,123,8,2,6000.00
246,123,70,1,68000.00
247,124,9,1,4500.00
248,124,56,2,55000.00
249,125,36,2,28000.00
250,125,61,2,124000.00
251,126,41,1,55000.00
252,126,7,1,10000.00
253,127,16,1,25000.00
254,127,66,1,33500.00
255,128,17,2,110000.00
256,128,57,1,17000.00
257,129,18,2,44000.00
258,129,62,1,46500.00
259,130,19,1,18000.00
260,130,58,2,66000.00
261,131,20,2,56000.00
262,131,43,1,18000.00
263,132,21,1,28000.00
264,132,67,2,49000.00
265,133,23,1,38000.00
266,133,59,1,20500.00
267,134,24,1,120000.00
268,134,71,1,6000.00
269,135,25,1,5800.00
270,135,49,3,46400.00
271,136,27,1,100000.00
272,136,1,1,2500.00
273,137,29,1,5000.00
274,137,72,4,90400.00
275,138,31,1,12000.00
276,138,52,2,47000.00
277,139,34,2,24000.00
278,139,68,1,36500.00
279,140,37,1,9500.00
280,140,53,1,43000.00
281,141,39,1,47000.00
282,141,2,1,8500.00
283,142,44,2,44000.00
284,142,69,2,58000.00
285,143,47,1,92000.00
286,143,54,1,17000.00
287,144,73,1,95000.00
288,144,11,1,6000.00
289,145,74,2,42000.00
290,145,12,1,12000.00
291,146,76,1,27000.00
292,146,13,1,9000.00
293,147,77,1,94000.00
294,147,3,1,72000.00
295,148,78,1,86000.00
296,148,4,1,28000.00
297,149,79,1,119000.00
298,149,5,1,15000.00
299,150,80,1,64000.00
300,150,6,1,12000.00
301,151,81,1,69000.00
302,151,7,1,10000.00
303,152,82,1,103000.00
304,152,8,1,3000.00
305,153,83,1,81000.00
306,153,9,1,4500.00
307,154,84,1,78000.00
308,154,10,1,45000.00
309,155,85,1,95000.00
310,155,11,1,6000.00
311,156,86,1,46000.00
312,156,12,1,12000.00
313,157,87,1,107000.00
314,157,13,1,9000.00
315,158,88,1,84000.00
316,158,14,1,25000.00
317,159,89,1,120000.00
318,159,15,1,16000.00
319,160,90,1,67000.00
320,160,16,1,25000.00
321,161,91,1,71000.00
322,161,17,1,55000.00
323,162,92,1,98000.00
324,162,18,1,22000.00
325,163,93,1,85000.00
326,163,19,1,18000.00
327,164,94,1,38000.00
328,164,99,1,28000.00
329,165,101,1,43000.00
330,165,20,1,28000.00
331,166,102,1,117000.00
332,166,21,1,28000.00
333,167,103,1,88000.00
334,167,22,1,20000.00
335,168,104,1,74000.00
336,168,23,1,38000.00
337,169,105,1,106000.00
338,169,24,1,120000.00
339,170,1,2,5000.00
340,170,2,1,8500.00
341,171,5,1,15000.00
342,171,10,2,90000.00
343,172,15,1,16000.00
344,172,20,2,56000.00
345,173,25,1,5800.00
346,173,30,1,51000.00
347,174,35,2,156000.00
348,174,40,1,5500.00
349,175,45,2,64000.00
350,175,50,1,32000.00
351,176,55,1,36000.00
352,176,60,1,46000.00
353,177,65,1,46000.00
354,177,70,1,15000.00
355,178,75,2,76000.00
356,178,80,1,58000.00
357,179,85,2,76000.00
358,179,90,1,38000.00
359,180,95,1,74000.00
360,180,1,1,2500.00
361,181,1,1,2500.00
362,181,100,1,117500.00
363,182,5,2,30000.00
364,182,90,1,38000.00
365,183,10,2,90000.00
366,183,75,1,30000.00
367,184,20,1,28000.00
368,184,85,1,53000.00
369,185,42,1,37000.00
370,185,2,1,8500.00
371,186,30,2,102000.00
372,186,56,1,42000.00
373,187,46,1,57000.00
374,187,41,1,44000.00
375,188,51,2,66000.00
376,188,38,1,33000.00
377,189,61,1,62000.00
378,189,3,1,72000.00
379,190,66,1,92000.00
380,190,23,1,21000.00
381,191,71,2,12000.00
382,191,76,1,40500.00
383,192,77,1,86000.00
384,192,4,1,28000.00
385,193,78,1,77000.00
386,193,83,1,49000.00
387,194,88,1,53000.00
388,194,5,1,15000.00
389,195,93,1,66000.00
390,195,6,1,12000.00
391,196,98,1,40000.00
392,196,103,2,32000.00
393,197,2,1,8500.00
394,197,100,1,66000.00
395,198,5,2,30000.00
396,198,32,2,32000.00
397,199,10,1,45000.00
398,199,15,2,32000.00
399,200,20,2,56000.00
400,200,25,1,18000.00
401,201,30,1,51000.00
402,201,35,1,78000.00
403,202,40,2,11000.00
404,202,45,1,32000.00
405,203,50,2,64000.00
406,203,55,1,36000.00
407,204,60,1,46000.00
408,204,65,1,46000.00
409,205,70,1,15000.00
410,205,75,1,29000.00
411,206,80,1,58000.00
412,206,85,1,40000.00
413,207,90,1,38000.00
414,207,95,1,48000.00
415,208,1,1,2500.00
416,208,100,1,94500.00
417,209,5,1,15000.00
418,209,26,2,60000.00
419,210,3,1,65000.00
420,210,22,1,20000.00
